
0 1 0 3 2 1 	2580.279302	0.003536	2
0 0 1 2 1 2 	2491.048530	0.003518	3
0 0 1 1 0 1 	2383.959461	0.003536	2
0 0 1 3 2 1 	2717.316065	0.003536	2
0 0 1 4 0 4 	2777.324742	0.003536	2
0 0 1 3 1 3 	2618.584802	0.003536	2
0 0 1 1 1 1 	2402.791322	0.003536	2
0 0 1 0 0 0 	2335.426000	0.005000	1
0 0 0 4 2 2 	581.385960	0.005000	1
0 0 1 4 1 3 	2860.470960	0.003536	2
0 0 1 3 0 3 	2610.718015	0.003536	2
0 0 1 3 1 2 	2664.259675	0.040000	1
0 0 1 3 3 1 	2820.817903	0.003536	2
0 0 1 4 2 3 	2894.455329	0.003536	2
0 1 0 3 3 1 	2651.450284	0.005000	1
0 0 1 4 1 4 	2775.329252	0.005000	1
0 0 1 3 2 2 	2710.256203	0.005000	1
0 1 0 4 2 2 	2788.576252	0.005000	1
0 0 1 5 0 5 	2975.257911	0.005000	1
0 0 1 3 3 0 	2820.799675	0.005000	1
0 2 0 1 1 1 	4343.463038	0.011000	1
0 2 0 1 1 0 	4361.654500	0.017000	1
0 2 0 2 1 2 	4412.381900	0.007000	1
0 2 0 2 1 1 	4466.774438	0.011000	1
0 0 2 1 1 1 	4677.257684	0.024000	1
0 1 1 1 0 1 	4495.164438	0.004000	1
0 1 1 2 0 2 	4555.903900	0.011000	1
0 1 1 1 1 1 	4512.566500	0.011000	1
0 2 1 2 0 2 	6519.056500	0.003536	2
0 2 1 1 1 1 	6466.523292	0.004240	2
0 2 1 2 1 2 	6537.048888	0.004886	2
0 3 0 0 0 0 	6287.667106	0.005000	1
0 3 0 1 1 1 	6342.837638	0.005000	1
0 3 0 1 1 0 	6363.807000	0.005000	1
0 3 0 1 0 1 	6330.973000	0.005000	1
0 2 1 0 0 0 	6400.711000	0.005000	1
0 2 1 1 0 1 	6441.905638	0.005000	1
0 2 1 1 1 0 	6479.443106	0.005000	1
0 2 1 3 0 3 	6622.428284	0.005000	1
0 2 1 2 2 1 	6646.282638	0.005000	1
0 2 1 2 2 0 	6649.435000	0.005000	1
1 2 0 0 0 0 	6991.578106	0.005000	1
1 2 0 1 1 1 	7046.697638	0.005000	1
1 2 0 1 1 0 	7064.826000	0.005000	1
1 2 0 1 0 1 	7039.362000	0.005000	1
1 2 0 2 1 2 	7126.862000	0.005000	1
1 2 0 2 0 2 	7123.230106	0.005000	1
1 2 0 2 1 1 	7177.963638	0.005000	1

0 0 0 4 0 4 	0.000000	0.002041	3
1 0 0 5 0 5 	3168.702000	0.004564	1
0 1 0 3 0 3 	2012.621000	0.004564	1
0 0 1 5 1 5 	2572.755000	0.004564	1

0 0 0 7 1 6 	0.000000	0.000707	1
0 1 0 6 1 5 	1837.573000	0.000707	1

0 0 0 7 2 6 	0.000000	0.000707	1
0 1 0 6 2 5 	1837.687600	0.000707	1

0 0 0 6 0 6 	0.000000	0.000707	1
0 1 0 5 0 5 	1892.541400	0.000707	1

0 0 0 6 1 5 	0.000000	0.000707	1
0 1 0 5 1 4 	1895.994900	0.000707	1

0 0 0 6 2 5 	0.000000	0.000707	1
0 1 0 5 2 4 	1896.344800	0.000707	1
